code,product_name,nutriscore_grade,ecoscore_grade,is_bio,Yuka_score,Yuka_class,fruits-vegetables-nuts-estimate-from-ingredients_serving,sugars_100g,energy_value,energy_unit,energy-kcal_value,saturated-fat_value,sodium_100g,proteins_100g,fiber_100g,fruits-vegetables-nuts-estimate-from-ingredients_serving,Nbr additifs à risque,Nbr additifs à risque modéré,Nbr additifs à risque limité,Nbr additifs sans risque,additives_count
4770107252812,Nouilles sun yan beef,e,c,FALSE,33,Mediocre,0,1,92,kcal,92,2,0.388,2,0.9,0,2,0,4,2,4
6223006710849,Nouilles extra piquante,e,b,FALSE,0,Mauvais,,3.3,460,kcal,460,8.6,1.647,10,2.8,,0,0,0,0,0
3760020509316,Tire-bouchons semi-complets,a,b,TRUE,100,excellent,0,3.6,1515,kJ,357,0.3,0.008,12.3,4.9,0,0,0,0,0,0
20114992,Spaghetti Bio,a,a,TRUE,100,excellent,0,3.2,1483,kJ,350,0.3,0,12,3.5,0,0,0,0,0,0
3456300007992,Ravioli chèvre et ciboulette,b,a,TRUE,82,excellent,39.9,4.9,366,kJ,87,0.6,0.216,3,1.8,39.9,0,0,0,0,0
3021690029154,Ravioli pur boeuf,b,a,TRUE,100,excellent,28.99,1,87,kcal,87,0.5,0.256,3.5,1.9,28.99,0,0,0,0,0
3266140059842,Les ravioles à poêler,c,a,TRUE,70,bon,21,1.5,203,kcal,203,3.1,0.44,7.8,1.9,21,0,0,1,1,2
3266140059125,Gnocchi BIO à poêler sachet,c,b,TRUE,79,excellent,0,1.3,912,kJ,216,0.4,0.4,5.9,,0,0,0,0,0,0
3478820031486,Ravioli Bœuf Bio,c,a,TRUE,79,excellent,39.6815974426269,4,355,kJ,84,0.5,0.4,3.2,1.6,39.6815974426269,0,0,0,0,0
3307130602553,Ravioli Volaille,c,a,TRUE,79,excellent,39.5375,4.6,356,kJ,85,0.2,0.28,3,1.3,39.5375,0,0,0,0,0
3245413942814,Ravioli Épinards Ricotta,c,a,TRUE,61,bon,11.6,1.9,252,kcal,252,2.5,0.56,11,2.6,11.6,0,0,0,0,0
3564707164511,Spaghettis complets,a,a,TRUE,100,excellent,0,3.5,344,kcal,344,0.1,0.012,14,6.8,0,0,0,0,0,0
7610848004028,Bio Knöpfli,b,b,TRUE,85,excellent,10.3125,2.5,659,kJ,156,0.6,0.372,6,1.4,10.3125,0,0,0,0,0
3564707135481,Ravioli bio emmental basilic,b,b,TRUE,82,excellent,0,2.3,1117,kJ,265,2.7,0.52,9.3,3,0,0,0,0,0,1
3350033750302,Ravioli Ricotta épinards,b,b,TRUE,82,excellent,11.0625,2.1,1071,kJ,315,1.7,0.56,9,3.1,11.0625,0,0,0,0,0
20115005,Bio Fusilli,a,b,TRUE,100,excellent,0,3.2,1483,kJ,350,0.3,0,12,3.5,0,0,0,0,0,0
3270190156222,Spaghetti semi-complets,a,a,TRUE,100,excellent,0,3.5,1455,kJ,343,0.1,0.012,13,4.6,0,0,0,0,0,0
3266140061234,Ravioli champignons ail des ours,b,a,TRUE,76,excellent,15.1,2.7,261,kcal,261,2.6,0.44,8.6,3.3,15.1,0,0,0,0,0
3256228951656,Girasoli pesto basilic,b,c,TRUE,67,bon,0,0.5,1157,kJ,276,2.8,0.48,10,3.3,0,0,0,0,1,1
3700019520878,Nouilles de riz,b,d,TRUE,82,excellent,0,0,1542,kJ,363,0,0.12,6.3,1,0,0,0,0,0,0
3760020507800,Ravioli épinard ricotta Bio,b,a,TRUE,79,excellent,40.72,4.6,375,kJ,89,1.1,0.256,2.7,1.7,40.72,0,0,0,0,0
3335880006512,Ravioli Légumes sauce Toscane,c,a,TRUE,85,excellent,23.82,2.6,349,kJ,83,0.4,0.328,2.4,0,23.82,0,0,0,0,0
3222476101457,Raviolis au boeuf BIO,c,a,TRUE,79,excellent,19.9400000000001,3.2,490,kJ,117,1.1,0.368,4.1,1.5,19.9400000000001,0,0,0,0,0
3396410037451,Ravioli Fromages et Basilic,d,a,TRUE,79,excellent,1.75416666666665,2.6,1134,kJ,269,4.1,0.44,11,0,1.75416666666665,0,0,0,0,0
3760020509293,Coquillettes semi-complètes,a,b,TRUE,100,excellent,0,3.6,1512,kJ,357,0.3,0.008,12.3,4.9,0,0,0,0,0,0
3564707103237,Penne Rigate,a,b,TRUE,100,excellent,0,3.5,1504,kJ,355,0.1,0,12,2.5,0,0,0,0,0,0
3596710516001,Fusilli au blé complet,a,b,TRUE,100,excellent,0,3.5,1451,kJ,343,0.5,0.004,12,8,0,0,0,0,0,0
3564707000093,Coquillettes Bio,a,b,TRUE,100,excellent,0,3.5,1504,kJ,,0.1,0,12,2.5,0,0,0,0,0,0
3564707164474,Bio village,a,b,TRUE,100,excellent,0,3.5,335,kcal,335,0.1,0.012,12,2.5,,0,0,0,0,0
3245413942876,Ravioli bio carrefour emmental basilic,b,a,TRUE,82,excellent,0,2.3,1117,kJ,265,2.7,0.52,9.3,3,0,0,0,0,0,0
3493833100387,Ravioli au Bœuf Bio - 340 g,b,a,TRUE,85,excellent,0,2,269,kJ,71,0.5,0.2,3,0,0,0,0,0,0,0
3564707086646,Ravioli bio aux 3 fromages,c,a,TRUE,58,bon,0,3.5,1210,kJ,287,4.3,0.48,13,2.4,0,0,0,0,0,0
8022230010002,Tortelloni Ricotta e spinaci,c,a,TRUE,58,bon,9.0439453125,2.8,254,kcal,254,2.8,0.76,8.5,3.3,9.0439453125,0,0,0,1,1
3760098459124,"Ravioles fromages, ail & fines herbes BIO 250g",c,a,TRUE,58,bon,5,1.2,1168,kJ,278,5.4,0.276,11.4,1.8,5,0,0,0,0,0
3596710484287,Ravioli fromages bio,c,a,TRUE,48,médiocre,0,1.2,1161,kJ,275,3.9,0.52,12,2.4,0,0,0,0,0,0
3478820003643,spaghetti au quinoa curry curcuma,a,b,TRUE,100,excellent,0,2,1524,kJ,360,0,0,11,6.4,0,0,0,0,0,0
3257982267397,Ravioli Ricotta Epinards,b,a,TRUE,82,excellent,11.6,2.7999999523163,244,kcal,244,2,0.55999999046324,8.6000003814697,3.4,11.6,0,0,0,0,0
3222473658503,Ravioli ricotta épinard BIO,b,a,TRUE,94,excellent,10,1.4,1007,kJ,,2.4,0.264,8.6,2,10,0,0,0,0,0
3335880006413,Raviolis légumes sauce Toscane,c,a,TRUE,79,excellent,23.82,2.6,83,kcal,83,0.4,0.328,2.4,0,23.82,0,0,0,0,0
3760020509491,Ravioli de légumes,a,a,TRUE,88,excellent,48.53828125,3,319,kJ,76,0.2,0.26,2.3,1.4,48.53828125,0,0,0,0,0
3252970006170,Avoine Bio de France,a,b,TRUE,100,excellent,0,2.5,348,kcal,348,0.3,0,11,3,0,0,0,0,0,0
8076809570664,Barilla pates coquillettes bio 500g,a,a,TRUE,100,excellent,0,3.5,1521,kJ,359,0.5,0,12,3,0,0,0,0,0,0
8003740125363,Fusilli 36,a,b,TRUE,100,excellent,0,3.5,1451,kJ,343,0.5,0.00399999991059304,12,8,0,0,0,0,0,0
3250392066192,Raviolis aux légumes BIO 675g (bocal),a,a,TRUE,94,excellent,42.875634765625,3.7,303,kJ,72,0.2,0.32,2.1,2.1,42.875634765625,0,0,0,0,0
7610848552895,Gemüse spätzli,b,a,TRUE,88,excellent,19.234375,1.8,656,kj,155,0.5,0.4,6.9,1.9,19.234375,0,0,0,0,0
8005658018980,Quadrotti gorgonzola e noci,c,b,TRUE,33,médiocre,0,0.8,261,kcal,261,4.5,0.44,12,1.4,0,0,1,0,0,1
